163.238.192.156  [04/Jan/2020:11:25:48 +0100] "GET /usr HTTP/1.0" 200 5003 "http://fletcher.com/main.php" "Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Mobile Safari/537.36 OPR/61.2.3076.56749" 1451
211.22.239.21  [10/Jan/2020:03:30:38 +0100] "POST /usr/admin HTTP/1.0" 403 5038 "http://rivera.org/main/index.jsp" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4380.0 Safari/537.36 Edg/89.0.759.0" 1677
183.210.168.70  [12/Jan/2020:11:31:15 +0100] "POST /usr/register HTTP/1.0" 304 4977 "http://www.henson.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4380.0 Safari/537.36 Edg/89.0.759.0" 3338
222.126.9.41  [05/Jan/2020:09:58:29 +0100] "GET /usr/admin HTTP/1.0" 404 5006 "https://lewis.info/list/tag/main/post.html" "Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.116 Mobile Safari/537.36 EdgA/45.12.4.5121" 2166
155.119.83.80  [13/Jan/2020:10:06:39 +0100] "PUT /usr/admin HTTP/1.0" 502 4889 "https://odom-robertson.com/posts/categories/category/" "Mozilla/5.0 (Android 10; Mobile; rv:84.0) Gecko/84.0 Firefox/84.0" 4830
155.119.83.80  [08/Jan/2020:02:05:10 +0100] "POST /usr/register HTTP/1.0" 502 4957 "http://www.henson.com/" "Mozilla/5.0 (Android 10; Mobile; rv:84.0) Gecko/84.0 Firefox/84.0" 479
122.161.25.177  [08/Jan/2020:08:01:29 +0100] "DELETE /usr/login HTTP/1.0" 404 5055 "https://www.hicks.net/blog/explore/main/register.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36 OPR/73.0.3856.329" 3113
211.22.239.21  [13/Jan/2020:01:37:46 +0100] "PUT /usr HTTP/1.0" 403 4952 "https://bradley-mathews.net/main/blog/home/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0" 2703
183.210.168.70  [08/Jan/2020:03:14:44 +0100] "PUT /usr/login HTTP/1.0" 404 4899 "http://rivera.org/main/index.jsp" "Mozilla/5.0 (Android 10; Mobile; rv:84.0) Gecko/84.0 Firefox/84.0" 2581
89.12.249.148  [02/Jan/2020:03:41:03 +0100] "PUT /usr/register HTTP/1.0" 502 4979 "http://peterson.org/main/" "Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Mobile Safari/537.36 OPR/61.2.3076.56749" 3434
